Date,Value,Meat Type,Country,Value Category
1965-05-01,0.5,Calf and young cattle,Ireland,0-50
1965-06-01,0.5,Calf and young cattle,Ireland,0-50
1965-06-01,29.6,Bovine meat,Ireland,0-50
1965-06-01,29.1,Adult cattle,Ireland,0-50
1965-07-01,0.5,Calf and young cattle,Ireland,0-50
1965-07-01,39.3,Adult cattle,Ireland,0-50
1965-07-01,39.8,Bovine meat,Ireland,0-50
1965-08-01,35.0,Bovine meat,Ireland,0-50
1965-08-01,0.5,Calf and young cattle,Ireland,0-50
1965-08-01,34.5,Adult cattle,Ireland,0-50
1965-09-01,42.2,Bovine meat,Ireland,0-50
1965-09-01,41.7,Adult cattle,Ireland,0-50
1965-09-01,0.5,Calf and young cattle,Ireland,0-50
1965-10-01,49.0,Bovine meat,Ireland,0-50
1965-10-01,0.5,Calf and young cattle,Ireland,0-50
1965-10-01,48.5,Adult cattle,Ireland,0-50
1965-11-01,0.5,Calf and young cattle,Ireland,0-50
1965-11-01,48.5,Adult cattle,Ireland,0-50
1965-11-01,49.0,Bovine meat,Ireland,0-50
1965-12-01,41.7,Adult cattle,Ireland,0-50
1965-12-01,42.2,Bovine meat,Ireland,0-50
1965-12-01,0.5,Calf and young cattle,Ireland,0-50
1966-01-01,64.05,Bovine meat,Ireland,50-100
1966-01-01,63.3,Adult cattle,Ireland,50-100
1966-01-01,0.75,Calf and young cattle,Ireland,0-50
1966-02-01,0.75,Calf and young cattle,Ireland,0-50
1966-02-01,47.65,Bovine meat,Ireland,0-50
1966-02-01,46.9,Adult cattle,Ireland,0-50
1966-03-01,0.75,Calf and young cattle,Ireland,0-50
1966-03-01,45.7,Adult cattle,Ireland,0-50
1966-03-01,46.45,Bovine meat,Ireland,0-50
1966-04-01,47.65,Bovine meat,Ireland,0-50
1966-04-01,46.9,Adult cattle,Ireland,0-50
1966-04-01,0.75,Calf and young cattle,Ireland,0-50
1966-05-01,0.75,Calf and young cattle,Ireland,0-50
1966-05-01,51.35,Bovine meat,Ireland,50-100
1966-05-01,50.6,Adult cattle,Ireland,50-100
1966-06-01,37.25,Bovine meat,Ireland,0-50
1966-06-01,36.5,Adult cattle,Ireland,0-50
1966-06-01,0.75,Calf and young cattle,Ireland,0-50
1966-07-01,49.3,Adult cattle,Ireland,0-50
1966-07-01,50.05,Bovine meat,Ireland,50-100
1966-07-01,0.75,Calf and young cattle,Ireland,0-50
1966-08-01,0.75,Calf and young cattle,Ireland,0-50
1966-08-01,43.2,Adult cattle,Ireland,0-50
1966-08-01,43.95,Bovine meat,Ireland,0-50
1966-09-01,52.4,Adult cattle,Ireland,50-100
1966-09-01,53.15,Bovine meat,Ireland,50-100
1966-09-01,0.75,Calf and young cattle,Ireland,0-50
1966-10-01,0.75,Calf and young cattle,Ireland,0-50
1966-10-01,60.9,Adult cattle,Ireland,50-100
1966-10-01,61.65,Bovine meat,Ireland,50-100
1966-11-01,61.65,Bovine meat,Ireland,50-100
1966-11-01,0.75,Calf and young cattle,Ireland,0-50
1966-11-01,60.9,Adult cattle,Ireland,50-100
1966-12-01,52.4,Adult cattle,Ireland,50-100
1966-12-01,0.75,Calf and young cattle,Ireland,0-50
1966-12-01,53.15,Bovine meat,Ireland,50-100
1967-01-01,98.4,Adult cattle,Ireland,50-100
1967-01-01,98.9,Bovine meat,Ireland,50-100
1967-01-01,0.5,Calf and young cattle,Ireland,0-50
1967-02-01,0.5,Calf and young cattle,Ireland,0-50
1967-02-01,72.8,Adult cattle,Ireland,50-100
1967-02-01,73.3,Bovine meat,Ireland,50-100
1967-03-01,71.5,Bovine meat,Ireland,50-100
1967-03-01,71.0,Adult cattle,Ireland,50-100
1967-03-01,0.5,Calf and young cattle,Ireland,0-50
1967-04-01,0.5,Calf and young cattle,Ireland,0-50
1967-04-01,72.7,Adult cattle,Ireland,50-100
1967-04-01,73.2,Bovine meat,Ireland,50-100
1967-05-01,78.5,Adult cattle,Ireland,50-100
1967-05-01,0.5,Calf and young cattle,Ireland,0-50
1967-05-01,79.0,Bovine meat,Ireland,50-100
1967-06-01,57.3,Bovine meat,Ireland,50-100
1967-06-01,0.5,Calf and young cattle,Ireland,0-50
1967-06-01,56.8,Adult cattle,Ireland,50-100
1967-07-01,76.6,Adult cattle,Ireland,50-100
1967-07-01,0.5,Calf and young cattle,Ireland,0-50
1967-07-01,77.1,Bovine meat,Ireland,50-100
1967-08-01,67.2,Adult cattle,Ireland,50-100
1967-08-01,0.5,Calf and young cattle,Ireland,0-50
1967-08-01,67.7,Bovine meat,Ireland,50-100
1967-09-01,81.4,Adult cattle,Ireland,50-100
1967-09-01,0.5,Calf and young cattle,Ireland,0-50
1967-09-01,81.9,Bovine meat,Ireland,50-100
1967-10-01,0.5,Calf and young cattle,Ireland,0-50
1967-10-01,95.1,Bovine meat,Ireland,50-100
1967-10-01,94.6,Adult cattle,Ireland,50-100
1967-11-01,95.1,Bovine meat,Ireland,50-100
1967-11-01,0.5,Calf and young cattle,Ireland,0-50
1967-11-01,94.6,Adult cattle,Ireland,50-100
1967-12-01,0.5,Calf and young cattle,Ireland,0-50
1967-12-01,81.4,Adult cattle,Ireland,50-100
1967-12-01,81.9,Bovine meat,Ireland,50-100
1968-01-01,84.2,Adult cattle,Ireland,50-100
1968-01-01,0.5,Calf and young cattle,Ireland,0-50
1968-01-01,84.7,Bovine meat,Ireland,50-100
1968-02-01,62.9,Bovine meat,Ireland,50-100
1968-02-01,0.5,Calf and young cattle,Ireland,0-50
1968-02-01,62.4,Adult cattle,Ireland,50-100
1968-03-01,60.6,Bovine meat,Ireland,50-100
1968-03-01,60.1,Adult cattle,Ireland,50-100
1968-03-01,0.5,Calf and young cattle,Ireland,0-50
1968-04-01,62.4,Adult cattle,Ireland,50-100
1968-04-01,62.9,Bovine meat,Ireland,50-100
1968-04-01,0.5,Calf and young cattle,Ireland,0-50
1968-05-01,67.2,Adult cattle,Ireland,50-100
1968-05-01,0.5,Calf and young cattle,Ireland,0-50
1968-05-01,67.7,Bovine meat,Ireland,50-100
1968-06-01,0.5,Calf and young cattle,Ireland,0-50
1968-06-01,48.6,Adult cattle,Ireland,0-50
1968-06-01,49.1,Bovine meat,Ireland,0-50
1968-07-01,0.5,Calf and young cattle,Ireland,0-50
1968-07-01,65.6,Adult cattle,Ireland,50-100
1968-07-01,66.1,Bovine meat,Ireland,50-100
1968-08-01,58.0,Bovine meat,Ireland,50-100
1968-08-01,57.5,Adult cattle,Ireland,50-100
1968-08-01,0.5,Calf and young cattle,Ireland,0-50
1968-09-01,0.5,Calf and young cattle,Ireland,0-50
1968-09-01,70.0,Adult cattle,Ireland,50-100
1968-09-01,70.5,Bovine meat,Ireland,50-100
1968-10-01,81.5,Bovine meat,Ireland,50-100
1968-10-01,81.0,Adult cattle,Ireland,50-100
1968-10-01,0.5,Calf and young cattle,Ireland,0-50
1968-11-01,81.0,Adult cattle,Ireland,50-100
1968-11-01,81.5,Bovine meat,Ireland,50-100
1968-11-01,0.5,Calf and young cattle,Ireland,0-50
1968-12-01,70.5,Bovine meat,Ireland,50-100
1968-12-01,70.0,Adult cattle,Ireland,50-100
1968-12-01,0.5,Calf and young cattle,Ireland,0-50
1969-01-01,0.42,Calf and young cattle,Ireland,0-50
1969-01-01,86.0,Adult cattle,Ireland,50-100
1969-01-01,86.42,Bovine meat,Ireland,50-100
1969-02-01,64.22,Bovine meat,Ireland,50-100
1969-02-01,0.42,Calf and young cattle,Ireland,0-50
1969-02-01,63.8,Adult cattle,Ireland,50-100
1969-03-01,62.0,Adult cattle,Ireland,50-100
1969-03-01,62.42,Bovine meat,Ireland,50-100
1969-03-01,0.42,Calf and young cattle,Ireland,0-50
1969-04-01,63.7,Adult cattle,Ireland,50-100
1969-04-01,0.42,Calf and young cattle,Ireland,0-50
1969-04-01,64.12,Bovine meat,Ireland,50-100
1969-05-01,0.42,Calf and young cattle,Ireland,0-50
1969-05-01,68.6,Adult cattle,Ireland,50-100
1969-05-01,69.02,Bovine meat,Ireland,50-100
1969-06-01,0.42,Calf and young cattle,Ireland,0-50
1969-06-01,49.6,Adult cattle,Ireland,0-50
1969-06-01,50.02,Bovine meat,Ireland,50-100
1969-07-01,67.0,Adult cattle,Ireland,50-100
1969-07-01,0.42,Calf and young cattle,Ireland,0-50
1969-07-01,67.42,Bovine meat,Ireland,50-100
1969-08-01,58.7,Adult cattle,Ireland,50-100
1969-08-01,0.42,Calf and young cattle,Ireland,0-50
1969-08-01,59.12,Bovine meat,Ireland,50-100
1969-09-01,0.42,Calf and young cattle,Ireland,0-50
1969-09-01,71.52,Bovine meat,Ireland,50-100
1969-09-01,71.1,Adult cattle,Ireland,50-100
1969-10-01,0.42,Calf and young cattle,Ireland,0-50
1969-10-01,83.12,Bovine meat,Ireland,50-100
1969-10-01,82.7,Adult cattle,Ireland,50-100
1969-11-01,0.42,Calf and young cattle,Ireland,0-50
1969-11-01,83.12,Bovine meat,Ireland,50-100
1969-11-01,82.7,Adult cattle,Ireland,50-100
1969-12-01,0.42,Calf and young cattle,Ireland,0-50
1969-12-01,71.1,Adult cattle,Ireland,50-100
1969-12-01,71.52,Bovine meat,Ireland,50-100
1970-01-01,94.42,Bovine meat,Ireland,50-100
1970-01-01,0.42,Calf and young cattle,Ireland,0-50
1970-01-01,94.0,Adult cattle,Ireland,50-100
1970-02-01,69.0,Adult cattle,Ireland,50-100
1970-02-01,0.42,Calf and young cattle,Ireland,0-50
1970-02-01,69.42,Bovine meat,Ireland,50-100
1970-03-01,67.42,Bovine meat,Ireland,50-100
1970-03-01,67.0,Adult cattle,Ireland,50-100
1970-03-01,0.42,Calf and young cattle,Ireland,0-50
1970-04-01,0.42,Calf and young cattle,Ireland,0-50
1970-04-01,69.0,Adult cattle,Ireland,50-100
1970-04-01,69.42,Bovine meat,Ireland,50-100
1970-05-01,75.0,Adult cattle,Ireland,50-100
1970-05-01,75.42,Bovine meat,Ireland,50-100
1970-05-01,0.42,Calf and young cattle,Ireland,0-50
1970-06-01,0.42,Calf and young cattle,Ireland,0-50
1970-06-01,54.0,Adult cattle,Ireland,50-100
1970-06-01,54.42,Bovine meat,Ireland,50-100
1970-07-01,0.42,Calf and young cattle,Ireland,0-50
1970-07-01,73.0,Adult cattle,Ireland,50-100
1970-07-01,73.42,Bovine meat,Ireland,50-100
1970-08-01,64.0,Adult cattle,Ireland,50-100
1970-08-01,64.42,Bovine meat,Ireland,50-100
1970-08-01,0.42,Calf and young cattle,Ireland,0-50
1970-09-01,0.42,Calf and young cattle,Ireland,0-50
1970-09-01,77.42,Bovine meat,Ireland,50-100
1970-09-01,77.0,Adult cattle,Ireland,50-100
1970-10-01,0.42,Calf and young cattle,Ireland,0-50
1970-10-01,90.42,Bovine meat,Ireland,50-100
1970-10-01,90.0,Adult cattle,Ireland,50-100
1970-11-01,0.42,Calf and young cattle,Ireland,0-50
1970-11-01,90.42,Bovine meat,Ireland,50-100
1970-11-01,90.0,Adult cattle,Ireland,50-100
1970-12-01,0.42,Calf and young cattle,Ireland,0-50
1970-12-01,77.0,Adult cattle,Ireland,50-100
1970-12-01,77.42,Bovine meat,Ireland,50-100
1971-01-01,0.42,Calf and young cattle,Ireland,0-50
1971-01-01,94.0,Adult cattle,Ireland,50-100
1971-01-01,94.42,Bovine meat,Ireland,50-100
1971-02-01,70.0,Adult cattle,Ireland,50-100
1971-02-01,70.42,Bovine meat,Ireland,50-100
1971-02-01,0.42,Calf and young cattle,Ireland,0-50
1971-03-01,68.42,Bovine meat,Ireland,50-100
1971-03-01,68.0,Adult cattle,Ireland,50-100
1971-03-01,0.42,Calf and young cattle,Ireland,0-50
1971-04-01,70.42,Bovine meat,Ireland,50-100
1971-04-01,0.42,Calf and young cattle,Ireland,0-50
1971-04-01,70.0,Adult cattle,Ireland,50-100
1971-05-01,0.42,Calf and young cattle,Ireland,0-50
1971-05-01,76.42,Bovine meat,Ireland,50-100
1971-05-01,76.0,Adult cattle,Ireland,50-100
1971-06-01,55.0,Adult cattle,Ireland,50-100
1971-06-01,55.42,Bovine meat,Ireland,50-100
1971-06-01,0.42,Calf and young cattle,Ireland,0-50
1971-07-01,74.0,Adult cattle,Ireland,50-100
1971-07-01,0.42,Calf and young cattle,Ireland,0-50
1971-07-01,74.42,Bovine meat,Ireland,50-100
1971-08-01,65.42,Bovine meat,Ireland,50-100
1971-08-01,0.42,Calf and young cattle,Ireland,0-50
1971-08-01,65.0,Adult cattle,Ireland,50-100
1971-09-01,78.42,Bovine meat,Ireland,50-100
1971-09-01,0.42,Calf and young cattle,Ireland,0-50
1971-09-01,78.0,Adult cattle,Ireland,50-100
1971-10-01,91.42,Bovine meat,Ireland,50-100
1971-10-01,0.42,Calf and young cattle,Ireland,0-50
1971-10-01,91.0,Adult cattle,Ireland,50-100
1971-11-01,0.42,Calf and young cattle,Ireland,0-50
1971-11-01,91.42,Bovine meat,Ireland,50-100
1971-11-01,91.0,Adult cattle,Ireland,50-100
1971-12-01,78.42,Bovine meat,Ireland,50-100
1971-12-01,0.42,Calf and young cattle,Ireland,0-50
1971-12-01,78.0,Adult cattle,Ireland,50-100
1972-01-01,0.33,Calf and young cattle,Ireland,0-50
1972-01-01,81.0,Adult cattle,Ireland,50-100
1972-01-01,81.33,Bovine meat,Ireland,50-100
1972-02-01,60.0,Adult cattle,Ireland,50-100
1972-02-01,0.33,Calf and young cattle,Ireland,0-50
1972-02-01,60.33,Bovine meat,Ireland,50-100
1972-03-01,58.0,Adult cattle,Ireland,50-100
1972-03-01,58.33,Bovine meat,Ireland,50-100
1972-03-01,0.33,Calf and young cattle,Ireland,0-50
1972-04-01,60.33,Bovine meat,Ireland,50-100
1972-04-01,0.33,Calf and young cattle,Ireland,0-50
1972-04-01,60.0,Adult cattle,Ireland,50-100
1972-05-01,65.33,Bovine meat,Ireland,50-100
1972-05-01,65.0,Adult cattle,Ireland,50-100
1972-05-01,0.33,Calf and young cattle,Ireland,0-50
1972-06-01,52.33,Bovine meat,Ireland,50-100
1972-06-01,0.33,Calf and young cattle,Ireland,0-50
1972-06-01,52.0,Adult cattle,Ireland,50-100
1972-07-01,0.33,Calf and young cattle,Ireland,0-50
1972-07-01,63.0,Adult cattle,Ireland,50-100
1972-07-01,63.33,Bovine meat,Ireland,50-100
1972-08-01,55.0,Adult cattle,Ireland,50-100
1972-08-01,0.33,Calf and young cattle,Ireland,0-50
1972-08-01,55.33,Bovine meat,Ireland,50-100
1972-09-01,67.0,Adult cattle,Ireland,50-100
1972-09-01,67.33,Bovine meat,Ireland,50-100
1972-09-01,0.33,Calf and young cattle,Ireland,0-50
1972-10-01,78.33,Bovine meat,Ireland,50-100
1972-10-01,0.33,Calf and young cattle,Ireland,0-50
1972-10-01,78.0,Adult cattle,Ireland,50-100
1972-11-01,78.33,Bovine meat,Ireland,50-100
1972-11-01,0.33,Calf and young cattle,Ireland,0-50
1972-11-01,78.0,Adult cattle,Ireland,50-100
1972-12-01,67.33,Bovine meat,Ireland,50-100
1972-12-01,67.0,Adult cattle,Ireland,50-100
1972-12-01,0.33,Calf and young cattle,Ireland,0-50
1973-01-01,90.0,Adult cattle,Ireland,50-100
1973-02-01,67.0,Adult cattle,Ireland,50-100
1973-03-01,65.0,Bovine meat,Ireland,50-100
1973-04-01,67.0,Adult cattle,Ireland,50-100
1973-05-01,72.0,Bovine meat,Ireland,50-100
1973-06-01,52.0,Bovine meat,Ireland,50-100
1973-07-01,70.0,Adult cattle,Ireland,50-100
1973-08-01,61.0,Bovine meat,Ireland,50-100
1973-09-01,74.0,Bovine meat,Ireland,50-100
1973-10-01,86.0,Adult cattle,Ireland,50-100
1973-11-01,87.0,Bovine meat,Ireland,50-100
1973-12-01,75.0,Adult cattle,Ireland,50-100
1974-01-01,105.7,Adult cattle,Ireland,100-150
1974-01-01,106.1,Bovine meat,Ireland,100-150
1974-01-01,0.4,Calf and young cattle,Ireland,0-50
1974-02-01,96.4,Bovine meat,Ireland,50-100
1974-02-01,0.2,Calf and young cattle,Ireland,0-50
1974-02-01,96.2,Adult cattle,Ireland,50-100
1974-03-01,85.4,Bovine meat,Ireland,50-100
1974-03-01,0.2,Calf and young cattle,Ireland,0-50
1974-03-01,85.2,Adult cattle,Ireland,50-100
1974-04-01,0.6,Calf and young cattle,Ireland,0-50
1974-04-01,72.2,Bovine meat,Ireland,50-100
1974-04-01,71.6,Adult cattle,Ireland,50-100
1974-05-01,90.7,Bovine meat,Ireland,50-100
1974-05-01,0.2,Calf and young cattle,Ireland,0-50
1974-05-01,90.5,Adult cattle,Ireland,50-100
1974-06-01,76.0,Bovine meat,Ireland,50-100
1974-06-01,0.1,Calf and young cattle,Ireland,0-50
1974-06-01,75.9,Adult cattle,Ireland,50-100
1974-07-01,96.5,Bovine meat,Ireland,50-100
1974-07-01,0.4,Calf and young cattle,Ireland,0-50
1974-07-01,96.1,Adult cattle,Ireland,50-100
1974-08-01,110.6,Adult cattle,Ireland,100-150
1974-08-01,111.1,Bovine meat,Ireland,100-150
1974-08-01,0.5,Calf and young cattle,Ireland,0-50
1974-09-01,0.8,Calf and young cattle,Ireland,0-50
1974-09-01,136.6,Bovine meat,Ireland,100-150
1974-09-01,135.8,Adult cattle,Ireland,100-150
1974-10-01,167.5,Adult cattle,Ireland,150-200
1974-10-01,168.8,Bovine meat,Ireland,150-200
1974-10-01,1.3,Calf and young cattle,Ireland,0-50
1974-11-01,167.7,Adult cattle,Ireland,150-200
1974-11-01,1.4,Calf and young cattle,Ireland,0-50
1974-11-01,169.1,Bovine meat,Ireland,150-200
1974-12-01,152.3,Adult cattle,Ireland,150-200
1974-12-01,1.0,Calf and young cattle,Ireland,0-50
1974-12-01,153.3,Bovine meat,Ireland,150-200
1975-01-01,188.2,Bovine meat,Ireland,150-200
1975-01-01,1.0,Calf and young cattle,Ireland,0-50
1975-01-01,187.2,Adult cattle,Ireland,150-200
1975-02-01,127.5,Bovine meat,Ireland,100-150
1975-02-01,0.1,Calf and young cattle,Ireland,0-50
1975-02-01,127.4,Adult cattle,Ireland,100-150
1975-03-01,0.5,Calf and young cattle,Ireland,0-50
1975-03-01,131.4,Bovine meat,Ireland,100-150
1975-03-01,130.9,Adult cattle,Ireland,100-150
1975-04-01,128.0,Bovine meat,Ireland,100-150
1975-04-01,0.2,Calf and young cattle,Ireland,0-50
1975-04-01,127.8,Adult cattle,Ireland,100-150
1975-05-01,0.3,Calf and young cattle,Ireland,0-50
1975-05-01,121.0,Bovine meat,Ireland,100-150
1975-05-01,120.7,Adult cattle,Ireland,100-150
1975-06-01,76.6,Bovine meat,Ireland,50-100
1975-06-01,0.4,Calf and young cattle,Ireland,0-50
1975-06-01,76.2,Adult cattle,Ireland,50-100
1975-07-01,143.6,Adult cattle,Ireland,100-150
1975-07-01,144.0,Bovine meat,Ireland,100-150
1975-07-01,0.4,Calf and young cattle,Ireland,0-50
1975-08-01,0.6,Calf and young cattle,Ireland,0-50
1975-08-01,150.7,Bovine meat,Ireland,150-200
1975-08-01,150.1,Adult cattle,Ireland,150-200
1975-09-01,169.1,Adult cattle,Ireland,150-200
1975-09-01,0.3,Calf and young cattle,Ireland,0-50
1975-09-01,169.4,Bovine meat,Ireland,150-200
1975-10-01,194.7,Adult cattle,Ireland,150-200
1975-10-01,1.1,Calf and young cattle,Ireland,0-50
1975-10-01,195.8,Bovine meat,Ireland,150-200
1975-11-01,0.9,Calf and young cattle,Ireland,0-50
1975-11-01,176.1,Bovine meat,Ireland,150-200
1975-11-01,175.2,Adult cattle,Ireland,150-200
1975-12-01,0.4,Calf and young cattle,Ireland,0-50
1975-12-01,143.7,Bovine meat,Ireland,100-150
1975-12-01,143.3,Adult cattle,Ireland,100-150
1976-01-01,117.9,Adult cattle,Ireland,100-150
1976-01-01,0.4,Calf and young cattle,Ireland,0-50
1976-01-01,118.3,Bovine meat,Ireland,100-150
1976-02-01,0.3,Calf and young cattle,Ireland,0-50
1976-02-01,94.3,Adult cattle,Ireland,50-100
1976-02-01,94.6,Bovine meat,Ireland,50-100
1976-03-01,96.9,Bovine meat,Ireland,50-100
1976-03-01,96.7,Adult cattle,Ireland,50-100
1976-03-01,0.2,Calf and young cattle,Ireland,0-50
1976-04-01,97.2,Bovine meat,Ireland,50-100
1976-04-01,0.2,Calf and young cattle,Ireland,0-50
1976-04-01,97.0,Adult cattle,Ireland,50-100
1976-05-01,100.5,Adult cattle,Ireland,100-150
1976-05-01,100.7,Bovine meat,Ireland,100-150
1976-05-01,0.2,Calf and young cattle,Ireland,0-50
1976-06-01,84.6,Adult cattle,Ireland,50-100
1976-06-01,84.9,Bovine meat,Ireland,50-100
1976-06-01,0.3,Calf and young cattle,Ireland,0-50
1976-07-01,79.0,Adult cattle,Ireland,50-100
1976-07-01,0.3,Calf and young cattle,Ireland,0-50
1976-07-01,79.3,Bovine meat,Ireland,50-100
1976-08-01,110.8,Adult cattle,Ireland,100-150
1976-08-01,0.2,Calf and young cattle,Ireland,0-50
1976-08-01,111.0,Bovine meat,Ireland,100-150
1976-09-01,0.2,Calf and young cattle,Ireland,0-50
1976-09-01,133.0,Adult cattle,Ireland,100-150
1976-09-01,133.2,Bovine meat,Ireland,100-150
1976-10-01,126.2,Adult cattle,Ireland,100-150
1976-10-01,0.3,Calf and young cattle,Ireland,0-50
1976-10-01,126.5,Bovine meat,Ireland,100-150
1976-11-01,0.5,Calf and young cattle,Ireland,0-50
1976-11-01,142.5,Bovine meat,Ireland,100-150
1976-11-01,142.0,Adult cattle,Ireland,100-150
1976-12-01,0.6,Calf and young cattle,Ireland,0-50
1976-12-01,110.5,Bovine meat,Ireland,100-150
1976-12-01,109.9,Adult cattle,Ireland,100-150
1977-01-01,95.9,Bovine meat,Ireland,50-100
1977-01-01,95.4,Adult cattle,Ireland,50-100
1977-01-01,0.5,Calf and young cattle,Ireland,0-50
1977-02-01,90.4,Adult cattle,Ireland,50-100
1977-02-01,0.3,Calf and young cattle,Ireland,0-50
1977-02-01,90.7,Bovine meat,Ireland,50-100
1977-03-01,86.7,Bovine meat,Ireland,50-100
1977-03-01,86.5,Adult cattle,Ireland,50-100
1977-03-01,0.2,Calf and young cattle,Ireland,0-50
1977-04-01,0.3,Calf and young cattle,Ireland,0-50
1977-04-01,87.1,Adult cattle,Ireland,50-100
1977-04-01,87.4,Bovine meat,Ireland,50-100
1977-05-01,0.3,Calf and young cattle,Ireland,0-50
1977-05-01,99.8,Adult cattle,Ireland,50-100
1977-05-01,100.1,Bovine meat,Ireland,100-150
1977-06-01,106.6,Bovine meat,Ireland,100-150
1977-06-01,0.2,Calf and young cattle,Ireland,0-50
1977-06-01,106.4,Adult cattle,Ireland,100-150
1977-07-01,0.3,Calf and young cattle,Ireland,0-50
1977-07-01,109.0,Bovine meat,Ireland,100-150
1977-07-01,108.7,Adult cattle,Ireland,100-150
1977-08-01,140.1,Adult cattle,Ireland,100-150
1977-08-01,140.4,Bovine meat,Ireland,100-150
1977-08-01,0.3,Calf and young cattle,Ireland,0-50
1977-09-01,0.3,Calf and young cattle,Ireland,0-50
1977-09-01,165.0,Bovine meat,Ireland,150-200
1977-09-01,164.7,Adult cattle,Ireland,150-200
1977-10-01,160.7,Adult cattle,Ireland,150-200
1977-10-01,161.9,Bovine meat,Ireland,150-200
1977-10-01,1.2,Calf and young cattle,Ireland,0-50
1977-11-01,176.5,Bovine meat,Ireland,150-200
1977-11-01,0.3,Calf and young cattle,Ireland,0-50
1977-11-01,176.2,Adult cattle,Ireland,150-200
1977-12-01,136.5,Adult cattle,Ireland,100-150
1977-12-01,0.2,Calf and young cattle,Ireland,0-50
1977-12-01,136.7,Bovine meat,Ireland,100-150
1978-01-01,147.8,Bovine meat,Ireland,100-150
1978-01-01,147.5,Adult cattle,Ireland,100-150
1978-01-01,0.3,Calf and young cattle,Ireland,0-50
1978-02-01,96.9,Adult cattle,Ireland,50-100
1978-02-01,0.3,Calf and young cattle,Ireland,0-50
1978-02-01,97.2,Bovine meat,Ireland,50-100
1978-03-01,96.6,Adult cattle,Ireland,50-100
1978-03-01,0.3,Calf and young cattle,Ireland,0-50
1978-03-01,96.9,Bovine meat,Ireland,50-100
1978-04-01,77.9,Bovine meat,Ireland,50-100
1978-04-01,77.5,Adult cattle,Ireland,50-100
1978-04-01,0.4,Calf and young cattle,Ireland,0-50
1978-05-01,88.3,Adult cattle,Ireland,50-100
1978-05-01,88.6,Bovine meat,Ireland,50-100
1978-05-01,0.3,Calf and young cattle,Ireland,0-50
1978-06-01,114.6,Bovine meat,Ireland,100-150
1978-06-01,0.3,Calf and young cattle,Ireland,0-50
1978-06-01,114.3,Adult cattle,Ireland,100-150
1978-07-01,120.3,Bovine meat,Ireland,100-150
1978-07-01,119.9,Adult cattle,Ireland,100-150
1978-07-01,0.4,Calf and young cattle,Ireland,0-50
1978-08-01,0.5,Calf and young cattle,Ireland,0-50
1978-08-01,130.2,Adult cattle,Ireland,100-150
1978-08-01,130.7,Bovine meat,Ireland,100-150
